model,data_name,run_name,checkpoint_path,total_interp_steps,batch_size,warmup_batches,timed_batches,mean_seconds_per_frame,std_seconds_per_frame,median_seconds_per_frame
UNet,nskt,Model_ft_UNet_Data_nskt_Optim_adam_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse,checkpoints/checkpoint_Model_UNet_Data_nskt_Optim_adam_lr0.0001_epoch200_stride32_T20_TfixedFalse.pt,20,12,2,20,0.35275208168029787,0.0004465712002357015,0.352871573638916
SuperSloMo,nskt,Model_ft_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_patchsize256_stride32_T20_TfixedTrue,checkpoints/checkpoint_Model_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_stride32_T20_TfixedTrue.pt,20,64,2,20,0.22640347446441647,0.0021716653846248673,0.22534946861267086
FLEX,nskt,Model_ft_FLEX_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch150_patchsize256_stride32_T20_TfixedTrue,checkpoints/checkpoint_Model_ft_FLEX3_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse_best.pt,20,12,2,20,0.4248026523590088,8.26450765826833e-05,0.4248215965270996
UNet,nskt,Model_ft_UNet_Data_nskt_Optim_adam_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse,checkpoints/checkpoint_Model_UNet_Data_nskt_Optim_adam_lr0.0001_epoch200_stride32_T20_TfixedFalse.pt,20,12,2,20,0.3532120678710937,0.0004176702699306013,0.35321391372680655
SuperSloMo,nskt,Model_ft_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_patchsize256_stride32_T20_TfixedTrue,checkpoints/checkpoint_Model_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_stride32_T20_TfixedTrue.pt,20,64,2,20,0.22650535057067872,0.0020049777462554422,0.225390705871582
FLEX,nskt,Model_ft_FLEX_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch150_patchsize256_stride32_T20_TfixedTrue,checkpoints/checkpoint_Model_ft_FLEX3_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse_best.pt,20,12,2,20,0.42457188362121584,6.104510815030002e-05,0.4245848678588867
UNet,nskt,Model_ft_UNet_Data_nskt_Optim_adam_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse,checkpoints/checkpoint_Model_UNet_Data_nskt_Optim_adam_lr0.0001_epoch200_stride32_T20_TfixedFalse.pt,20,12,2,20,0.35285040374755855,0.000502148756242507,0.3528366973876953
SuperSloMo,nskt,Model_ft_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_patchsize256_stride32_T20_TfixedTrue,checkpoints/checkpoint_Model_SuperSloMo_Data_nskt_Optim_adam_lr6e-05_epoch200_stride32_T20_TfixedTrue.pt,20,64,2,20,0.22615842216491702,0.0017671813203944226,0.2252841110229492
FLEX,nskt,Model_ft_FLEX_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse,checkpoints/checkpoint_Model_ft_FLEX3_small_mlp2_Data_nskt_Optim_adam_cosine_lr0.0001_epoch300_patchsize256_stride32_T20_TfixedFalse_best.pt,20,12,2,20,0.4246673707580566,6.782425451814225e-05,0.42466952133178715
UNet,shanghai,Model_ft_UNet_Data_shanghai_Optim_adam_lr0.0001_epoch400_patchsize128_stride32_T8_TfixedFalse,checkpoints/checkpoint_Model_UNet_Data_shanghai_Optim_adam_lr0.0001_epoch400_stride32_T8_TfixedFalse.pt,8,12,2,20,0.15904514398574832,0.0014526346731224642,0.15895038604736328
SuperSloMo,shanghai,Model_ft_SuperSloMo_Data_shanghai_Optim_adam_lr0.0001_epoch400_patchsize128_stride32_T8_TfixedTrue,checkpoints/checkpoint_Model_SuperSloMo_Data_shanghai_Optim_adam_lr0.0001_epoch400_patchsize128_stride32_T8_TfixedTrue_best.pt,8,32,2,20,0.046489762449264525,0.0011647913691873331,0.04608728408813476
FLEX,shanghai,Model_ft_FLEX_small_mlp2_Data_shanghai_Optim_adam_cosine_lr0.0001_epoch300_patchsize128_stride32_T8_TfixedFalse,checkpoints/checkpoint_Model_FLEX3_small_mlp2_Data_shanghai_Optim_adam_cosine_lr0.0001_epoch300_stride32_T8_TfixedFalse_best.pt,8,12,2,20,0.12640068011283873,4.8481788337557654e-05,0.12639307737350464
UNet,sea_temp,Model_ft_UNet_Data_sea_temp_Optim_adam_lr0.0001_epoch30_patchsize128_stride64_T10_TfixedFalse,checkpoints/checkpoint_Model_UNet_Data_sea_temp_Optim_adam_lr0.0001_epoch30_stride64_T10_TfixedFalse.pt,10,16,2,20,0.2123084853363037,0.0036733620592487685,0.21276711044311522
SuperSloMo,sea_temp,Model_ft_SuperSloMo_Data_sea_temp_Optim_adam_lr0.0001_epoch200_patchsize128_stride32_T10_TfixedTrue,checkpoints/checkpoint_Model_SuperSloMo_Data_sea_temp_Optim_adam_lr0.0001_epoch200_patchsize128_stride32_T10_TfixedTrue_best.pt,10,32,2,20,0.04645895071029663,0.0010040784287553587,0.046132143783569335
FLEX,sea_temp,Model_ft_FLEX_small_mlp2_Data_sea_temp_Optim_adam_cosine_lr0.0001_epoch100_patchsize128_stride32_T10_TfixedFalse,checkpoints/checkpoint_Model_ft_FLEX3_small_mlp2_Data_sea_temp_Optim_adam_cosine_lr0.0001_epoch100_patchsize128_stride32_T10_TfixedFalse_best.pt,10,32,2,20,0.2992496710205078,9.47103220231627e-05,0.29922096557617184
EDEN,nskt,EDEN_Data_nskt_patch256_T20,vae=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_VAE/014/checkpoints/0020000.pt;dit=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_DiT/015/checkpoints/0012000.pt,20,32,2,6,0.3050064384460449,5.150456264184534e-05,0.30499392166137695
EDEN,shanghai,EDEN_Data_shanghai_patch128_T8,vae=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_VAE/013/checkpoints/0001800.pt;dit=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_DiT/014/checkpoints/0002000.pt,8,64,2,12,0.14870882018407186,0.028804428792042296,0.15663500213623047
EDEN,sst,EDEN_Data_sst_patch128_T10,vae=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_VAE/012/checkpoints/0012000.pt;dit=/pscratch/sd/p/puren93/puren/Interp-DM/EDEN/output/experiments-EDEN_DiT/013/checkpoints/0008000.pt,10,64,2,20,0.157061350479126,0.0015011053185135593,0.15646780471801758
